State,Drivers License,,,
Alabama,4325456,,,
Alaska,7634534,,,
Arizona,D64523489,,,
Arkansas,968735594,,,
California,C9548198,,,
Colorado,795849403,,,
Connecticut,715201334,,,         --header 'x-api-key: NF-jJvPCyf1DiXcxfNTeGIDGlvX4MjHy0xX' \
Delaware,2349756,,,
Florida,R293-516-52-458-1,,,
Georgia,548398296,,,
Hawaii,H72544769,,,
Idaho,TP123288A,,,
Illinois,P293-5163-5223,,,
Indiana,5421-56-9876,,,
Iowa,876XX9898,,,
Kansas,K01-76-4235,,,
Kentucky,D18-354-596,,,
Louisiana,52857694,,,
Maine,9619732,,,
Massachusetts,M34214589,,,
Michigan,P800 000 224 322,,,
Mississippi,715201334,,,
Missouri,T87564359,,,
Montana,9.65874E+11,,,
Nebraska,N75634298,,,
Nevada,9.76547E+11,,,
New Hampshire,NHL12506717,,,
New Jersey,X9764-52367-25472,,,
New Mexico,876453789,,,
New York,987 098 435,,,
North Carolina,95481942348,,,
Ohio,AB857643,,,
Oklahoma,B000065483,,,
Oregon,A867589,,,
Pennsylvania,99 654 934,,,
Rhode Island,V342145,,,
South Carolina,856474892,,,
South Dakota,98756473,,,
Tennessee,967874563,,,
Texas,5849772,,,
Utah,2144878789,,,
Vermont,76834430,,,
Virginia,V34214589,,,
West Virginia,YC990678,,,
Wisconsin,S545-4566-0976-00,,,
Wyoming,768462-099,,,
Disctrict Of Columbia,8745389,,,
California,V9548198,,,
Colorado,765849223,,,
Connecticut,235201334,,,
